"LGA","Year","Offence_Category_DMV","Subcategory","Total_DMV_Offences","Offence_Category_Drug","Total_Drug_Offences","Alcohol_induced_DMV_Offences","Non_Alcohol_induced_DMV_offences","Total_Employed","new_Unemployment_Data"
"Greater Hume Shire",2017,"Assault","Domestic violence related assault",18,"Drug offences",16,10,8,3970,6616
"Greater Hume Shire",2018,"Assault","Domestic violence related assault",21,"Drug offences",20,9,12,4103,6564
"Greater Hume Shire",2019,"Assault","Domestic violence related assault",31,"Drug offences",11,6,25,4260,6487
"Greater Hume Shire",2020,"Assault","Domestic violence related assault",26,"Drug offences",6,5,26,4279,6573
"Griffith",2016,"Assault","Domestic violence related assault",242,"Drug offences",72,68,174,14716,11595
"Griffith",2017,"Assault","Domestic violence related assault",212,"Drug offences",120,52,160,14591,11983
"Griffith",2018,"Assault","Domestic violence related assault",197,"Drug offences",112,54,143,14968,11870
"Griffith",2019,"Assault","Domestic violence related assault",221,"Drug offences",199,61,162,15394,11604
"Griffith",2020,"Assault","Domestic violence related assault",161,"Drug offences",138,62,160,15292,11864
"Gunnedah",2016,"Assault","Domestic violence related assault",77,"Drug offences",28,20,57,5825,6672
"Gunnedah",2017,"Assault","Domestic violence related assault",62,"Drug offences",22,24,38,5832,6698
"Gunnedah",2018,"Assault","Domestic violence related assault",63,"Drug offences",28,29,35,5986,6562
"Gunnedah",2019,"Assault","Domestic violence related assault",84,"Drug offences",43,31,53,6166,6394
"Gunnedah",2020,"Assault","Domestic violence related assault",60,"Drug offences",37,37,58,6113,6438
"Gwydir",2016,"Assault","Domestic violence related assault",15,"Drug offences",9,11,4,2324,3925
"Gwydir",2017,"Assault","Domestic violence related assault",19,"Drug offences",10,11,8,2301,3970
"Gwydir",2018,"Assault","Domestic violence related assault",27,"Drug offences",10,17,10,2353,3957
"Gwydir",2019,"Assault","Domestic violence related assault",20,"Drug offences",17,10,10,2424,3904
"Gwydir",2020,"Assault","Domestic violence related assault",27,"Drug offences",9,15,19,2423,3839
"Hawkesbury",2016,"Assault","Domestic violence related assault",258,"Drug offences",291,67,191,28583,38423
"Hawkesbury",2017,"Assault","Domestic violence related assault",249,"Drug offences",202,65,184,28853,38494
"Hawkesbury",2018,"Assault","Domestic violence related assault",245,"Drug offences",214,70,175,29825,37871
"Hawkesbury",2019,"Assault","Domestic violence related assault",236,"Drug offences",183,83,153,30916,37035
"Hawkesbury",2020,"Assault","Domestic violence related assault",204,"Drug offences",158,70,211,30777,37637
"Hay",2016,"Assault","Domestic violence related assault",24,"Drug offences",213,7,17,1525,1486
"Hay",2017,"Assault","Domestic violence related assault",17,"Drug offences",109,5,12,1526,1474
"Hay",2018,"Assault","Domestic violence related assault",19,"Drug offences",74,8,11,1570,1429
"Hay",2019,"Assault","Domestic violence related assault",21,"Drug offences",36,7,14,1624,1349
"Hay",2020,"Assault","Domestic violence related assault",24,"Drug offences",15,10,18,1621,1347
"Hilltops",2016,"Assault","Domestic violence related assault",72,"Drug offences",47,30,42,8130,10361
"Hilltops",2017,"Assault","Domestic violence related assault",99,"Drug offences",48,38,62,8111,10338
"Hilltops",2018,"Assault","Domestic violence related assault",109,"Drug offences",70,43,66,8330,10101
"Hilltops",2019,"Assault","Domestic violence related assault",89,"Drug offences",64,27,64,8589,9799
"Hilltops",2020,"Assault","Domestic violence related assault",60,"Drug offences",103,37,63,8548,9745
"Hornsby",2016,"Assault","Domestic violence related assault",152,"Drug offences",190,44,108,48444,96258
"Hornsby",2017,"Assault","Domestic violence related assault",159,"Drug offences",176,45,114,48963,97312
"Hornsby",2018,"Assault","Domestic violence related assault",159,"Drug offences",214,48,111,50646,96996
"Hornsby",2019,"Assault","Domestic violence related assault",218,"Drug offences",248,51,166,52450,96424
"Hornsby",2020,"Assault","Domestic violence related assault",225,"Drug offences",139,65,207,52250,97007
"Hunters Hill",2016,"Assault","Domestic violence related assault",15,"Drug offences",25,4,11,5005,9652
